 ,Area,XM,YM
1,43,308.384,148.384
2,44,310.545,147.568
3,42,312.571,147.31
4,43,313.5,147.64
5,42,312.524,148.452
6,41,310.524,149.085
7,43,309.012,149.337
8,44,308.568,149.455
9,41,309.5,149.744
10,42,310.833,149.5
11,40,312.5,149.0
12,42,313.595,147.857
13,43,313.895,147.337
14,43,313.081,147.477
15,41,311.866,148.573
16,42,311.69,149.571
17,44,312.227,150.659
18,43,311.919,150.477
19,41,311.744,149.5
20,42,312.429,148.31
21,44,313.455,147.136
22,43,313.616,145.616
23,42,314.0,143.5
24,40,315.3,140.0
25,41,316.646,136.646
26,42,318.5,134.833
27,47,319.734,135.053
28,42,321.429,136.69
29,40,322.525,139.825
30,41,323.5,142.744
31,42,324.024,144.762
32,45,324.033,146.078
33,44,324.0,146.5
34,43,324.477,145.616
35,43,324.919,144.477
36,42,325.571,142.69
37,42,326.5,140.833
38,42,327.071,138.857
39,41,327.476,136.622
40,43,327.477,134.919
41,43,326.919,134.477
42,41,325.646,133.646
43,42,325.167,134.5
44,42,324.833,136.5
45,40,324.675,138.275
46,43,325.081,139.523
47,42,324.69,141.429
48,38,323.684,144.184
49,43,323.081,146.523
50,42,322.5,148.167
51,42,322.429,149.31
52,43,322.477,150.081
53,43,323.407,150.779
54,43,324.779,151.43
55,44,327.0,151.0
56,41,329.256,150.5
57,41,331.5,150.256
58,42,331.857,149.262
59,42,330.571,147.69
60,41,328.354,146.646
61,43,326.64,146.5
62,44,326.591,146.864
63,42,328.143,147.738
64,42,329.595,148.857
65,43,329.988,150.081
66,44,328.909,150.864
67,44,327.591,150.864
68,44,327.0,150.0
69,42,326.857,148.405
70,42,327.167,146.667
71,44,327.409,146.136
72,43,327.477,146.081
73,42,326.857,146.595
74,41,326.476,147.915
75,41,325.5,149.256
76,43,324.779,150.43
77,43,324.477,151.081
78,43,325.337,151.174
79,41,326.5,150.744
80,42,327.262,150.357
81,41,326.744,149.5
82,41,325.744,148.5
83,41,324.354,147.354
84,40,323.4,144.95
85,41,322.646,141.354
86,41,322.963,138.378
87,44,323.409,136.136
88,45,323.344,134.922
89,44,323.0,135.5
90,42,322.405,136.738
91,43,320.942,138.942
92,41,318.5,140.256
93,43,315.57,140.779
94,44,314.614,140.705
95,44,315.25,140.818
96,42,317.167,141.5
97,44,319.295,142.614
98,42,320.429,142.31
99,46,320.891,141.109
100,42,320.571,140.69
101,41,318.622,140.622
102,43,316.477,139.919
103,44,314.864,139.591
104,44,314.705,139.386
105,42,315.571,138.69
106,43,316.384,137.616
107,45,316.789,137.167
108,42,317.452,137.0
109,41,317.256,137.5
110,42,316.571,137.69
111,43,315.64,138.5
112,44,314.455,139.432
113,42,312.381,139.929
114,43,308.919,139.872
115,43,305.616,139.616
116,43,303.174,138.733
117,42,301.571,137.69
118,43,301.756,136.547
119,41,303.256,135.5
120,43,305.919,134.523
121,43,309.105,132.965
122,42,311.333,132.167
123,41,310.744,132.5
124,41,308.524,134.085
125,41,306.256,135.5
126,43,304.779,136.57
127,43,304.523,137.384
128,41,305.28,138.354
129,41,306.134,138.427
130,43,306.919,137.477
131,44,307.545,136.568
132,42,307.69,135.429
133,43,308.035,133.244
134,45,308.011,131.233
135,44,308.364,130.091
136,44,308.386,129.705
137,43,308.384,129.616
138,44,308.386,129.705
139,44,308.386,129.705
140,45,308.078,129.3
141,43,307.384,128.616
142,42,305.429,127.69
143,40,303.0,126.3
144,43,301.43,124.779
145,44,299.705,124.386
146,42,298.69,123.571
147,43,298.756,123.035
148,43,298.616,122.616
149,42,299.0,122.548
150,42,299.5,122.167
151,44,300.455,121.568
152,42,301.571,121.31
153,41,303.476,121.085
154,42,304.571,120.69
155,41,304.5,120.744
156,44,303.545,121.568
157,42,302.429,122.31
158,43,301.221,122.43
159,43,299.384,122.477
160,42,297.31,121.571
161,42,296.31,120.571
162,46,296.0,120.326
163,44,296.091,120.386
164,42,296.571,120.69
165,39,298.269,121.013
166,41,299.256,120.5
167,42,298.833,119.5
168,42,297.833,119.5
169,43,296.43,119.779
170,46,295.109,120.043
171,45,293.922,121.033
172,43,292.081,122.523
173,41,289.817,124.671
174,41,288.646,127.354
175,42,288.333,129.548
176,42,288.905,131.31
177,41,290.256,131.5
178,39,291.09,129.679
179,41,291.5,127.256
180,41,292.329,124.012
181,41,292.5,121.744
182,41,292.5,121.744
183,41,292.5,123.744
184,42,292.429,126.69
185,43,292.663,128.826
186,42,293.0,130.452
187,41,293.354,131.159
188,42,293.429,130.31
189,43,293.337,128.988
190,42,293.0,127.548
191,43,293.058,125.616
192,41,293.354,123.646
193,42,293.429,122.31
194,42,293.31,121.571
195,42,292.667,121.833
196,42,292.571,122.31
197,43,292.43,123.221
198,43,292.477,124.384
199,44,293.591,125.136
200,43,295.081,125.523
201,43,296.593,125.5
202,47,297.947,125.266
203,41,299.817,124.671
204,39,302.628,123.372
205,42,305.262,122.048
206,42,306.595,121.024
207,42,307.833,120.5
208,42,308.429,120.69
209,42,308.429,122.31
210,44,308.5,124.0
211,42,308.5,126.0
212,41,307.5,128.256
213,42,305.167,129.5
214,42,303.429,128.69
215,42,302.429,127.31
216,43,301.081,126.128
217,44,300.409,125.136
218,46,300.065,125.0
219,45,300.433,125.056
220,43,301.174,125.663
221,41,301.598,126.768
222,42,302.429,127.69
223,41,302.5,128.744
224,44,302.432,129.159
225,42,302.167,129.5
226,45,301.5,129.5
227,43,300.942,129.384
228,44,300.159,128.955
229,42,300.31,129.571
230,43,300.779,130.895
231,42,300.69,132.429
232,43,300.616,133.384
233,44,300.864,133.591
234,41,301.5,133.744
235,42,302.429,133.31
236,42,303.738,132.357
237,42,305.5,131.0
238,45,306.967,130.078
239,43,306.919,130.477
240,43,305.919,132.477
241,43,305.384,134.384
242,46,305.0,134.848
243,44,305.136,134.591
244,41,304.476,133.622
245,41,303.5,131.744
246,43,303.384,130.616
247,42,304.452,131.0
248,41,305.378,132.378
249,43,305.826,133.337
250,43,306.221,133.105
251,41,305.5,133.256
252,43,304.012,133.337
253,40,302.525,133.175
254,42,302.667,132.548
255,42,303.262,132.357
256,42,303.952,133.405
257,40,304.675,133.725
258,40,304.7,133.575
259,41,304.037,133.378
260,42,303.31,132.429
261,41,302.744,132.5
262,41,302.744,133.5
263,40,303.425,134.3
264,45,304.167,134.833
265,42,304.571,135.31
266,42,304.5,135.167
267,44,304.432,134.455
268,41,303.5,134.256
269,44,302.0,133.5
270,41,299.5,131.744
271,41,297.354,129.354
272,41,295.5,126.744
273,43,293.849,125.407
274,42,292.548,125.429
275,42,291.429,127.31
276,45,290.5,129.5
277,42,289.31,131.571
278,42,288.571,133.31
279,42,288.5,134.833
280,42,288.69,134.571
281,41,289.402,133.232
282,44,289.455,132.432
283,41,289.256,132.5
284,43,287.802,133.035
